"imatge","Marca visible","Marca no visible","Beige","Blanc","Blau","Gris","Marró","Negre","Rosa","Taronja","Verd","Vermell","Llis","Estampat","Home","Dona","Sense model","Edat_model","Samarreta màniga curta","Samarreta màniga llarga","Dessuadora","Dessuadora amb caputxa"
"NI122O0D4-C11@1.1.jpg",1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,NA,1,0,0,0
"NI122S08O-N11@8.jpg",1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,"27",0,0,0,1
"OD142G00W-K11@10.jpg",1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,"27",0,0,1,0
"ON321J0HR-J11@4.jpg",0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,"24",0,0,0,1
"OS322O0KP-A11@15.1.jpg",0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,"25",1,0,0,0
"OS322S0A0-Q11@20.1.jpg",0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,"27",0,0,1,0
"P6822O06D-C11@10.1.jpg",1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,"28",1,0,0,0
"PE1210001-A11@2.1.jpg",0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,"23",1,0,0,0
"PI922SA08-K12@12.1.jpg",0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,"26",0,0,0,1
"PO221I04D-K11@8.jpg",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,"26",0,0,0,1
"PO222O05F-C11@7.jpg",1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,"26",1,0,0,0
"PS722O01N-A11@8.jpg",1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,"24",1,0,0,0
"PU121J03T-K11@10.jpg",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,"23",0,0,0,1
"PU142D0NM-Q11@10.jpg",1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,"23",1,0,0,0
"PU142G05Q-M11@10.1.jpg",1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,"24",0,0,0,1
"QS121J044-J11@12.1.jpg",0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,"38",0,0,1,0
"QS121J048-C11@19.jpg",0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,"30",0,0,0,1
"QS122S02Q-C11@11.jpg",0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,"25",0,0,0,1
"S3422O06B-Q11@8.jpg",0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,"26",1,0,0,0
"SO222O0NQ-K11@11.jpg",0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,"31",0,1,0,0
"SO222O0OC-G11@17.jpg",1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,"33",1,0,0,0
"SO222O0OS-C11@20.jpg",0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,"31",0,1,0,0
"SO222S08C-Q11@6.1.jpg",0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,"39",0,0,1,0
"SU221J0TJ-K11@8.jpg",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,"27",0,0,0,1
"SU222O15O-K11@16.1.jpg",1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,"24",1,0,0,0
"SU222S0OJ-G11@18.1.jpg",0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,"23",0,0,0,1
"SU222S0PL-G11@16.jpg",1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,"25",0,0,0,1
"SU222S0S3-Q11@15.jpg",1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,"26",0,0,0,1
"SU222S0SG-K11@21.jpg",1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,"25",0,0,0,1
"SW822O003-K11@8.jpg",1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,"24",1,0,0,0
"TH321J004-Q11@8.jpg",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,"24",0,0,0,1
"TH342D00W-A11@10.jpg",1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,"30",1,0,0,0
"TI122O013-K12@7.jpg",1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,"27",0,1,0,0
"TO122S04L-K12@9.jpg",1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,"30",0,0,1,0
"TO222D03U-K13@10.jpg",1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,"31",1,0,0,0
"TO222P043-Q11@8.jpg",1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,"29",0,1,0,0
"TO222P04G-K11@10.jpg",1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,"29",0,1,0,0
"TO222P04H-K11@10.jpg",0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,"26",0,1,0,0
"TO721J069-A11@10.1.jpg",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"26",0,0,1,0
"TO722O0NL-K11@10.jpg",0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,"28",0,1,0,0
"TO722S08M-N11@10.jpg",0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,"28",0,0,0,1
"TOB22S01Q-K11@11.1.jpg",1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,"23",0,0,0,1
"UM422O00H-A11@13.1.jpg",1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,"25",1,0,0,0
"UR622J001-K13@8.jpg",0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,"27",0,0,0,1
"UR622O01U-M11@9.jpg",0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,"24",1,0,0,0
"UR622O02B-C11@1.2.jpg",0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,"27",1,0,0,0
"UR622O02B-G11@1.1.jpg",0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,"28",1,0,0,0
"WEB21J001-O11@4.jpg",0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,"23",0,0,0,1
"WO322S00J-J11@4.jpg",1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,"22",0,0,1,0
"YO122O0G2-A11@10.jpg",0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,"25",0,1,0,0
"ZK121J01D-A11@8.1.jpg",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,"29",0,0,0,1
